index,datetime,rental quantity
2023-03-29,2023-03-29,12755
2023-03-30,2023-03-30,11684
2023-03-31,2023-03-31,11936
2023-04-01,2023-04-01,11380
2023-04-02,2023-04-02,12916
2023-04-03,2023-04-03,12734
2023-04-04,2023-04-04,15304
2023-04-05,2023-04-05,15113
2023-04-06,2023-04-06,12443
2023-04-07,2023-04-07,11380
2023-04-08,2023-04-08,12962
2023-04-09,2023-04-09,11910
2023-04-10,2023-04-10,12163
2023-04-11,2023-04-11,14327
2023-04-12,2023-04-12,15258
2023-04-13,2023-04-13,15611
2023-04-14,2023-04-14,14837
2023-04-15,2023-04-15,15285
2023-04-16,2023-04-16,14806
2023-04-17,2023-04-17,11583
2023-04-18,2023-04-18,13737
2023-04-19,2023-04-19,14238
2023-04-20,2023-04-20,14947
2023-04-21,2023-04-21,15423
2023-04-22,2023-04-22,10163
2023-04-23,2023-04-23,13691
2023-04-24,2023-04-24,12022
2023-04-25,2023-04-25,13474
2023-04-26,2023-04-26,13235
2023-04-27,2023-04-27,13979
2023-04-28,2023-04-28,2827
2023-04-29,2023-04-29,15665
2023-04-30,2023-04-30,5830
2023-05-01,2023-05-01,11688
2023-05-02,2023-05-02,10823
2023-05-03,2023-05-03,11520
2023-05-04,2023-05-04,13033
2023-05-05,2023-05-05,14387
2023-05-06,2023-05-06,16732
2023-05-07,2023-05-07,11951
2023-05-08,2023-05-08,12864
2023-05-09,2023-05-09,12529
2023-05-10,2023-05-10,15509
2023-05-11,2023-05-11,15435
2023-05-12,2023-05-12,15563
2023-05-13,2023-05-13,10401
2023-05-14,2023-05-14,15111
2023-05-15,2023-05-15,13546
2023-05-16,2023-05-16,13548
2023-05-17,2023-05-17,15178
2023-05-18,2023-05-18,14985
2023-05-19,2023-05-19,16163
2023-05-20,2023-05-20,15216
2023-05-21,2023-05-21,14971
2023-05-22,2023-05-22,13776
2023-05-23,2023-05-23,15092
2023-05-24,2023-05-24,15187
2023-05-25,2023-05-25,14786
2023-05-26,2023-05-26,15066
2023-05-27,2023-05-27,15929
2023-05-28,2023-05-28,13824
2023-05-29,2023-05-29,7793
2023-05-30,2023-05-30,13851
2023-05-31,2023-05-31,15495
2023-06-01,2023-06-01,15507
2023-06-02,2023-06-02,15131
2023-06-03,2023-06-03,16762
2023-06-04,2023-06-04,15054
2023-06-05,2023-06-05,13645
2023-06-06,2023-06-06,15289
2023-06-07,2023-06-07,14191
2023-06-08,2023-06-08,11576
2023-06-09,2023-06-09,14477
2023-06-10,2023-06-10,17668
2023-06-11,2023-06-11,15399
2023-06-12,2023-06-12,11411
2023-06-13,2023-06-13,15746
2023-06-14,2023-06-14,16141
2023-06-15,2023-06-15,16619
2023-06-16,2023-06-16,14709
2023-06-17,2023-06-17,16906
2023-06-18,2023-06-18,15187
2023-06-19,2023-06-19,14342
2023-06-20,2023-06-20,15496
2023-06-21,2023-06-21,6689
2023-06-22,2023-06-22,12271
2023-06-23,2023-06-23,9391
2023-06-24,2023-06-24,16813
2023-06-25,2023-06-25,15682
2023-06-26,2023-06-26,12975
2023-06-27,2023-06-27,12847
2023-06-28,2023-06-28,15841
2023-06-29,2023-06-29,13816
2023-06-30,2023-06-30,13089
2023-07-01,2023-07-01,13037
2023-07-02,2023-07-02,13428
2023-07-03,2023-07-03,14079
2023-07-04,2023-07-04,19930
2023-07-05,2023-07-05,13749
2023-07-06,2023-07-06,14441
2023-07-07,2023-07-07,14627
2023-07-08,2023-07-08,16191
2023-07-09,2023-07-09,13616
2023-07-10,2023-07-10,14678
2023-07-11,2023-07-11,15856
2023-07-12,2023-07-12,15524
2023-07-13,2023-07-13,15137
2023-07-14,2023-07-14,13340
2023-07-15,2023-07-15,16066
2023-07-16,2023-07-16,13091
2023-07-17,2023-07-17,14056
2023-07-18,2023-07-18,16033
2023-07-19,2023-07-19,15529
2023-07-20,2023-07-20,16619
2023-07-21,2023-07-21,16831
2023-07-22,2023-07-22,18366
2023-07-23,2023-07-23,15798
2023-07-24,2023-07-24,14351
2023-07-25,2023-07-25,14592
2023-07-26,2023-07-26,15929
2023-07-27,2023-07-27,14509
2023-07-28,2023-07-28,13107
2023-07-29,2023-07-29,13968
2023-07-30,2023-07-30,15482
2023-07-31,2023-07-31,14462
2023-08-01,2023-08-01,16303
2023-08-02,2023-08-02,16403
2023-08-03,2023-08-03,13306
2023-08-04,2023-08-04,15603
2023-08-05,2023-08-05,17245
2023-08-06,2023-08-06,12921
2023-08-07,2023-08-07,10255
2023-08-08,2023-08-08,16308
2023-08-09,2023-08-09,15340
2023-08-10,2023-08-10,13769
2023-08-11,2023-08-11,15956
2023-08-12,2023-08-12,16040
2023-08-13,2023-08-13,14187
2023-08-14,2023-08-14,11306
2023-08-15,2023-08-15,14000
2023-08-16,2023-08-16,16257
2023-08-17,2023-08-17,15737
2023-08-18,2023-08-18,15932
2023-08-19,2023-08-19,17782
2023-08-20,2023-08-20,14915
2023-08-21,2023-08-21,13912
2023-08-22,2023-08-22,16073
2023-08-23,2023-08-23,16409
2023-08-24,2023-08-24,15526
2023-08-25,2023-08-25,13802
2023-08-26,2023-08-26,16900
2023-08-27,2023-08-27,15530
2023-08-28,2023-08-28,13234
2023-08-29,2023-08-29,15266
2023-08-30,2023-08-30,16841
2023-08-31,2023-08-31,17074
2023-09-01,2023-09-01,16338
2023-09-02,2023-09-02,17090
2023-09-03,2023-09-03,15220
2023-09-04,2023-09-04,13205
2023-09-05,2023-09-05,14463
2023-09-06,2023-09-06,15557
2023-09-07,2023-09-07,15709
2023-09-08,2023-09-08,15442
2023-09-09,2023-09-09,13143
2023-09-10,2023-09-10,13200
2023-09-11,2023-09-11,14611
2023-09-12,2023-09-12,16129
2023-09-13,2023-09-13,17369
2023-09-14,2023-09-14,17549
2023-09-15,2023-09-15,16915
2023-09-16,2023-09-16,18602
2023-09-17,2023-09-17,12008
2023-09-18,2023-09-18,14563
2023-09-19,2023-09-19,16160
2023-09-20,2023-09-20,16362
2023-09-21,2023-09-21,16663
2023-09-22,2023-09-22,16070
2023-09-23,2023-09-23,3967
2023-09-24,2023-09-24,9185
2023-09-25,2023-09-25,12624
2023-09-26,2023-09-26,12562
2023-09-27,2023-09-27,17129
2023-09-28,2023-09-28,16917
2023-09-29,2023-09-29,16630
2023-09-30,2023-09-30,18708
2023-10-01,2023-10-01,17577
2023-10-02,2023-10-02,15682
2023-10-03,2023-10-03,17018
2023-10-04,2023-10-04,17262
2023-10-05,2023-10-05,16808
2023-10-06,2023-10-06,16410
2023-10-07,2023-10-07,14529
2023-10-08,2023-10-08,14033
2023-10-09,2023-10-09,12891
2023-10-10,2023-10-10,15710
2023-10-11,2023-10-11,16702
2023-10-12,2023-10-12,17337
2023-10-13,2023-10-13,17545
2023-10-14,2023-10-14,8130
2023-10-15,2023-10-15,13754
2023-10-16,2023-10-16,13882
2023-10-17,2023-10-17,15644
2023-10-18,2023-10-18,16413
2023-10-19,2023-10-19,17155
2023-10-20,2023-10-20,13498
2023-10-21,2023-10-21,17349
2023-10-22,2023-10-22,14592
2023-10-23,2023-10-23,14365
2023-10-24,2023-10-24,16983
2023-10-25,2023-10-25,17983
2023-10-26,2023-10-26,18024
2023-10-27,2023-10-27,18583
2023-10-28,2023-10-28,20174
2023-10-29,2023-10-29,17164
2023-10-30,2023-10-30,13185
2023-10-31,2023-10-31,14702
2023-11-01,2023-11-01,12712
2023-11-02,2023-11-02,13324
2023-11-03,2023-11-03,14235
2023-11-04,2023-11-04,18320
2023-11-05,2023-11-05,15447
2023-11-06,2023-11-06,13844
2023-11-07,2023-11-07,15738
2023-11-08,2023-11-08,15348
2023-11-09,2023-11-09,14949
2023-11-10,2023-11-10,8490
2023-11-11,2023-11-11,15014
2023-11-12,2023-11-12,11353
2023-11-13,2023-11-13,12633
2023-11-14,2023-11-14,14563
2023-11-15,2023-11-15,14484
2023-11-16,2023-11-16,15123
2023-11-17,2023-11-17,14820
2023-11-18,2023-11-18,13922
2023-11-19,2023-11-19,11955
2023-11-20,2023-11-20,10828
2023-11-21,2023-11-21,3686
2023-11-22,2023-11-22,9470
2023-11-23,2023-11-23,6135
2023-11-24,2023-11-24,7621
2023-11-25,2023-11-25,7459
2023-11-26,2023-11-26,5282
2023-11-27,2023-11-27,9697
2023-11-28,2023-11-28,9513
2023-11-29,2023-11-29,10081
2023-11-30,2023-11-30,12555
2023-12-01,2023-12-01,8831
2023-12-02,2023-12-02,13250
2023-12-03,2023-12-03,8819
2023-12-04,2023-12-04,11624
2023-12-05,2023-12-05,12216
2023-12-06,2023-12-06,11426
2023-12-07,2023-12-07,11227
2023-12-08,2023-12-08,12472
2023-12-09,2023-12-09,13512
2023-12-10,2023-12-10,4556
2023-12-11,2023-12-11,9458
2023-12-12,2023-12-12,11089
2023-12-13,2023-12-13,11382
2023-12-14,2023-12-14,10791
2023-12-15,2023-12-15,11783
2023-12-16,2023-12-16,12272
2023-12-17,2023-12-17,6020
2023-12-18,2023-12-18,9084
2023-12-19,2023-12-19,9009
2023-12-20,2023-12-20,9296
2023-12-21,2023-12-21,8523
2023-12-22,2023-12-22,7590
2023-12-23,2023-12-23,6251
2023-12-24,2023-12-24,4451
2023-12-25,2023-12-25,4335
2023-12-26,2023-12-26,3697
2023-12-27,2023-12-27,2580
2023-12-28,2023-12-28,7918
2023-12-29,2023-12-29,8659
2023-12-30,2023-12-30,7594
2023-12-31,2023-12-31,7327
2024-01-01,2024-01-01,4902
2024-01-02,2024-01-02,7808
2024-01-03,2024-01-03,9153
2024-01-04,2024-01-04,8482
2024-01-05,2024-01-05,8420
2024-01-06,2024-01-06,3105
2024-01-07,2024-01-07,8257
2024-01-08,2024-01-08,9919
2024-01-09,2024-01-09,3309
2024-01-10,2024-01-10,10564
2024-01-11,2024-01-11,11124
2024-01-12,2024-01-12,9557
2024-01-13,2024-01-13,9516
2024-01-14,2024-01-14,6773
2024-01-15,2024-01-15,3037
2024-01-16,2024-01-16,2786
2024-01-17,2024-01-17,5092
2024-01-18,2024-01-18,6941
2024-01-19,2024-01-19,2578
2024-01-20,2024-01-20,3798
2024-01-21,2024-01-21,4171
2024-01-22,2024-01-22,6693
2024-01-23,2024-01-23,9058
2024-01-24,2024-01-24,10485
2024-01-25,2024-01-25,9623
2024-01-26,2024-01-26,13997
2024-01-27,2024-01-27,12558
2024-01-28,2024-01-28,6428
2024-01-29,2024-01-29,9630
2024-01-30,2024-01-30,10493
2024-01-31,2024-01-31,10577
2024-02-01,2024-02-01,11826
2024-02-02,2024-02-02,10952
2024-02-03,2024-02-03,11890
2024-02-04,2024-02-04,10584
2024-02-05,2024-02-05,10497
2024-02-06,2024-02-06,11107
2024-02-07,2024-02-07,12183
2024-02-08,2024-02-08,12488
2024-02-09,2024-02-09,13553
2024-02-10,2024-02-10,14156
2024-02-11,2024-02-11,8499
2024-02-12,2024-02-12,8727
2024-02-13,2024-02-13,9489
2024-02-14,2024-02-14,11819
2024-02-15,2024-02-15,11665
2024-02-16,2024-02-16,11085
2024-02-17,2024-02-17,7742
2024-02-18,2024-02-18,8903
2024-02-19,2024-02-19,9293
2024-02-20,2024-02-20,10977
2024-02-21,2024-02-21,11879
2024-02-22,2024-02-22,11080
2024-02-23,2024-02-23,11058
2024-02-24,2024-02-24,11764
2024-02-25,2024-02-25,10205
2024-02-26,2024-02-26,12707
2024-02-27,2024-02-27,12059
2024-02-28,2024-02-28,8681
2024-02-29,2024-02-29,11820
2024-03-01,2024-03-01,11926
2024-03-02,2024-03-02,8885
2024-03-03,2024-03-03,14620
2024-03-04,2024-03-04,12744
2024-03-05,2024-03-05,11124
2024-03-06,2024-03-06,9809
2024-03-07,2024-03-07,14606
2024-03-08,2024-03-08,14697
2024-03-09,2024-03-09,4864
2024-03-10,2024-03-10,8977
2024-03-11,2024-03-11,10704
2024-03-12,2024-03-12,16777
2024-03-13,2024-03-13,17852
2024-03-14,2024-03-14,18751
2024-03-15,2024-03-15,15676
2024-03-16,2024-03-16,22075
2024-03-17,2024-03-17,17594
2024-03-18,2024-03-18,13093
2024-03-19,2024-03-19,14196
2024-03-20,2024-03-20,16692
2024-03-21,2024-03-21,14633
2024-03-22,2024-03-22,15150
2024-03-23,2024-03-23,8931
2024-03-24,2024-03-24,15422
2024-03-25,2024-03-25,14891
2024-03-26,2024-03-26,16367
2024-03-27,2024-03-27,9288
2024-03-28,2024-03-28,13663
2024-03-29,2024-03-29,17975
2024-03-30,2024-03-30,18834
2024-03-31,2024-03-31,16130
2024-04-01,2024-04-01,11684
2024-04-02,2024-04-02,10636
2024-04-03,2024-04-03,7342
2024-04-04,2024-04-04,14875
2024-04-05,2024-04-05,14438
2024-04-06,2024-04-06,15217
2024-04-07,2024-04-07,16960
2024-04-08,2024-04-08,15618
2024-04-09,2024-04-09,16907
2024-04-10,2024-04-10,18228
2024-04-11,2024-04-11,15272
2024-04-12,2024-04-12,16044
2024-04-13,2024-04-13,18385
2024-04-14,2024-04-14,18983
2024-04-15,2024-04-15,16109
2024-04-16,2024-04-16,18335
2024-04-17,2024-04-17,18122
2024-04-18,2024-04-18,19145
2024-04-19,2024-04-19,15647
2024-04-20,2024-04-20,21862
2024-04-21,2024-04-21,13409
2024-04-22,2024-04-22,15323
2024-04-23,2024-04-23,17757
2024-04-24,2024-04-24,18426
2024-04-25,2024-04-25,17320
2024-04-26,2024-04-26,18000
2024-04-27,2024-04-27,13860
2024-04-28,2024-04-28,20461
2024-04-29,2024-04-29,17149
2024-04-30,2024-04-30,18751
2024-05-01,2024-05-01,19720
2024-05-02,2024-05-02,19595
2024-05-03,2024-05-03,19787
2024-05-04,2024-05-04,9590
2024-05-05,2024-05-05,11073
2024-05-06,2024-05-06,15684
2024-05-07,2024-05-07,18410
2024-05-08,2024-05-08,20057
2024-05-09,2024-05-09,17395
2024-05-10,2024-05-10,10931
2024-05-11,2024-05-11,17362
2024-05-12,2024-05-12,14430
2024-05-13,2024-05-13,17749
2024-05-14,2024-05-14,12182
2024-05-15,2024-05-15,14293
2024-05-16,2024-05-16,19909
2024-05-17,2024-05-17,18024
2024-05-18,2024-05-18,8931
2024-05-19,2024-05-19,17989
2024-05-20,2024-05-20,17779
2024-05-21,2024-05-21,19442
2024-05-22,2024-05-22,18733
2024-05-23,2024-05-23,17250
2024-05-24,2024-05-24,18376
2024-05-25,2024-05-25,17420
2024-05-26,2024-05-26,17809
2024-05-27,2024-05-27,13796
2024-05-28,2024-05-28,17564
2024-05-29,2024-05-29,14971
2024-05-30,2024-05-30,19232
2024-05-31,2024-05-31,20052
2024-06-01,2024-06-01,21525
2024-06-02,2024-06-02,18418
2024-06-03,2024-06-03,17857
2024-06-04,2024-06-04,19797
2024-06-05,2024-06-05,16203
2024-06-06,2024-06-06,19840
2024-06-07,2024-06-07,22005
2024-06-08,2024-06-08,24193
2024-06-09,2024-06-09,20079
2024-06-10,2024-06-10,17818
2024-06-11,2024-06-11,20405
2024-06-12,2024-06-12,21128
2024-06-13,2024-06-13,20324
2024-06-14,2024-06-14,19665
2024-06-15,2024-06-15,21245
2024-06-16,2024-06-16,18533
2024-06-17,2024-06-17,16805
2024-06-18,2024-06-18,19977
2024-06-19,2024-06-19,19955
2024-06-20,2024-06-20,19365
2024-06-21,2024-06-21,19230
2024-06-22,2024-06-22,19020
2024-06-23,2024-06-23,16478
2024-06-24,2024-06-24,17939
2024-06-25,2024-06-25,19854
2024-06-26,2024-06-26,18740
2024-06-27,2024-06-27,20298
2024-06-28,2024-06-28,20421
2024-06-29,2024-06-29,20567
2024-06-30,2024-06-30,16673
2024-07-01,2024-07-01,19100
2024-07-02,2024-07-02,20189
2024-07-03,2024-07-03,20961
2024-07-04,2024-07-04,20561
2024-07-05,2024-07-05,18103
2024-07-06,2024-07-06,17210
2024-07-07,2024-07-07,16138
2024-07-08,2024-07-08,17304
2024-07-09,2024-07-09,18811
2024-07-10,2024-07-10,18370
2024-07-11,2024-07-11,20753
2024-07-12,2024-07-12,16006
2024-07-13,2024-07-13,20074
2024-07-14,2024-07-14,17817
2024-07-15,2024-07-15,16610
2024-07-16,2024-07-16,18266
2024-07-17,2024-07-17,15802
2024-07-18,2024-07-18,20651
2024-07-19,2024-07-19,21331
2024-07-20,2024-07-20,19051
2024-07-21,2024-07-21,19392
2024-07-22,2024-07-22,14580
2024-07-23,2024-07-23,19799
2024-07-24,2024-07-24,19804
2024-07-25,2024-07-25,20508
2024-07-26,2024-07-26,21642
2024-07-27,2024-07-27,23273
2024-07-28,2024-07-28,20179
2024-07-29,2024-07-29,17964
2024-07-30,2024-07-30,20243
2024-07-31,2024-07-31,18951
2024-08-01,2024-08-01,20121
2024-08-02,2024-08-02,19826
2024-08-03,2024-08-03,17709
2024-08-04,2024-08-04,18723
2024-08-05,2024-08-05,18606
2024-08-06,2024-08-06,20016
2024-08-07,2024-08-07,20055
2024-08-08,2024-08-08,12101
2024-08-09,2024-08-09,13217
2024-08-10,2024-08-10,21626
2024-08-11,2024-08-11,19904
2024-08-12,2024-08-12,19722
2024-08-13,2024-08-13,21147
2024-08-14,2024-08-14,21741
2024-08-15,2024-08-15,21611
2024-08-16,2024-08-16,21546
2024-08-17,2024-08-17,20247
2024-08-18,2024-08-18,18675
2024-08-19,2024-08-19,18407
2024-08-20,2024-08-20,21162
2024-08-21,2024-08-21,21719
2024-08-22,2024-08-22,21848
2024-08-23,2024-08-23,22360
2024-08-24,2024-08-24,24040
2024-08-25,2024-08-25,21232
2024-08-26,2024-08-26,19885
2024-08-27,2024-08-27,21795
2024-08-28,2024-08-28,20796
2024-08-29,2024-08-29,16217
2024-08-30,2024-08-30,17877
2024-08-31,2024-08-31,20633
